#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
44,Serbia,"2,297,227","+3,221","16,750 ",+13,"2,214,358","+5,694","66,119",28,"265,243","1,934","10,729,331","1,238,834","8,660,831 ",Europe,4,517,1,372,2,"7,634"
45,Hungary,"2,048,547",,"47,291 ",,"1,962,698",,"38,558",23,"213,235","4,923","11,394,556","1,186,068","9,606,999 ",Europe,5,203,1,,,"4,014"
46,Bangladesh,"2,013,094",+333,"29,328 ",,"1,957,458",+187,"26,308","1,331","11,964",174,"14,771,485","87,789","168,260,305 ",Asia,84,"5,737",11,2,,156
47,Singapore,"1,847,270","+1,176","1,596 ",+2,"1,771,353","+1,967","74,321",11,"310,441",268,"24,345,019","4,091,275","5,950,472 ",Asia,3,"3,728",0,198,0.3,"12,490"
48,Slovakia,"1,835,328",+51,"20,365 ",+2,"1,810,772",+82,"4,191",22,"335,809","3,726","7,271,880","1,330,531","5,465,395 ",Europe,3,268,1,9,0.4,767
49,New Zealand,"1,749,139","+1,400","2,779 ",+4,"1,734,023","+1,693","12,337",,"349,681",556,"7,492,531","1,497,877","5,002,100 ",Australia/Oceania,3,"1,800",1,280,0.8,"2,466"
50,Jordan,"1,738,867",,"14,114 ",,"1,721,850",,"2,903",59,"166,821","1,354","17,148,002","1,645,116","10,423,581 ",Asia,6,739,1,,,279
51,Georgia,"1,735,682",,"16,889 ",,"1,637,293",,"81,500",,"436,923","4,251","16,920,079","4,259,290","3,972,512 ",Asia,2,235,0,,,"20,516"
52,Ireland,"1,656,956",,"7,798 ",,"1,641,356",+460,"7,802",8,"327,602","1,542","12,647,411","2,500,560","5,057,832 ",Europe,3,649,0,,,"1,543"
53,Hong Kong,"1,592,420","+10,021","9,732 ",+8,"1,344,270","+4,626","238,418",16,"208,723","1,276","54,352,132","7,124,087","7,629,347 ",Asia,5,784,0,"1,313",1,"31,250"
54,Pakistan,"1,570,206",+190,"30,593 ",+2,"1,531,183",,"8,430",119,"6,820",133,"30,192,506","131,141","230,228,694 ",Asia,147,"7,526",8,0.8,0.01,37
55,Norway,"1,460,554",+123,"4,004 ",+3,"1,454,972",+56,"1,578",20,"264,905",726,"11,002,430","1,995,546","5,513,493 ",Europe,4,"1,377",1,22,0.5,286
56,Kazakhstan,"1,390,109",+562,"13,684 ",,"1,359,538","+1,198","16,887",24,"72,155",710,"11,575,012","600,814","19,265,539 ",Asia,14,"1,408",2,29,,877
57,Finland,"1,266,917",,"5,690 ",,"1,235,366","+2,182","25,861",21,"227,885","1,023","11,394,153","2,049,512","5,559,446 ",Europe,4,977,0,,,"4,652"
58,Morocco,"1,264,556",+7,"16,274 ",,"1,247,943",,339,293,"33,398",430,"12,478,636","329,575","37,862,764 ",Africa,30,"2,327",3,0.2,,9
59,Bulgaria,"1,245,457",+724,"37,620 ",+7,"1,196,215","+1,095","11,622",42,"182,225","5,504","10,454,340","1,529,593","6,834,719 ",Europe,5,182,1,106,1,"1,700"
60,Lithuania,"1,220,925",+92,"9,296 ",+4,"1,191,734",+187,"19,895",9,"462,516","3,522","10,121,695","3,834,347","2,639,744 ",Europe,2,284,0,35,2,"7,537"
61,Croatia,"1,216,456",+27,"16,746 ",+7,"1,195,529",+815,"4,181",10,"300,343","4,135","5,150,856","1,271,748","4,050,218 ",Europe,3,242,1,7,2,"1,032"
62,Lebanon,"1,211,140",+293,"10,639 ",+1,"1,087,587",,"112,914",186,"179,190","1,574","4,795,578","709,513","6,758,974 ",Asia,6,635,1,43,0.1,"16,706"
63,Tunisia,"1,144,824",,"29,238 ",,N/A,N/A,N/A,99,"94,709","2,419","4,918,504","406,899","12,087,768 ",Africa,11,413,2,,,"1,460"
64,Slovenia,"1,131,886",+520,"6,787 ",,"1,106,829",+440,"18,270",16,"544,291","3,264","2,724,750","1,310,253","2,079,560 ",Europe,2,306,1,250,,"8,786"
65,Cuba,"1,110,742",+29,"8,530 ",,"1,101,963",+26,249,23,"98,195",754,"14,064,773","1,243,396","11,311,577 ",North America,10,"1,326",1,3,,22
66,Guatemala,"1,105,036",+127,"19,567 ",+15,"1,080,044",+399,"5,425",5,"59,293","1,050","5,678,734","304,703","18,636,948 ",North America,17,952,3,7,0.8,291
67,Bolivia,"1,104,102",+213,"22,209 ",+1,"1,034,948","+1,071","46,945",220,"91,859","1,848","2,705,422","225,084","12,019,595 ",South America,11,541,4,18,0.08,"3,906"
68,Costa Rica,"1,058,467",,"8,867 ",,"860,711",,"188,889",52,"203,733","1,707","4,659,757","896,908","5,195,354 ",North America,5,586,1,,,"36,357"
69,UAE,"1,017,543",+398,"2,341 ",,"997,100",+473,"18,102",,"100,246",231,"185,321,303","18,257,377","10,150,489 ",Asia,10,"4,336",0,39,,"1,783"
70,Nepal,"997,990",+122,"12,007 ",,"983,539",+206,"2,444",,"32,961",397,"5,898,186","194,804","30,277,523 ",Asia,30,"2,522",5,4,,81
71,Ecuador,"997,573",+33,"35,862 ",,"954,024","+2,315","7,687",759,"54,733","1,968","3,082,403","169,119","18,226,190 ",South America,18,508,6,2,,422
72,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,272",754,"13,646,641","1,445,227","9,442,562 ",Europe,9,"1,327",1,,,141
73,Panama,"981,822",,"8,480 ",,"968,108",,"5,234",16,"220,011","1,900","6,976,985","1,563,431","4,462,610 ",North America,5,526,1,,,"1,173"
74,Uruguay,"981,186",,"7,455  ",,"971,994",,"1,737",18,"280,345","2,130","6,114,822","1,747,130","3,499,924 ",South America,4,469,1,,,496
75,Mongolia,"980,283",+298,"2,179 ",,"972,054",+961,"6,050",192,"288,896",642,"4,030,048","1,187,683","3,393,202 ",Asia,3,"1,557",1,88,,"1,783"
76,Latvia,"902,095","+1,441","5,950 ",+1,"883,736",,"12,409",6,"490,037","3,232","7,548,192","4,100,340","1,840,870 ",Europe,2,309,0,783,0.5,"6,741"
77,Azerbaijan,"815,523",+621,"9,825 ",+3,"802,256",+549,"3,442",,"78,885",950,"7,170,036","693,557","10,338,069 ",Asia,13,"1,052",1,60,0.3,333
78,Saudi Arabia,"813,878",+114,"9,306 ",+3,"801,008",+94,"3,564",42,"22,611",259,"44,147,691","1,226,529","35,993,994 ",Asia,44,"3,868",1,3,0.08,99
79,Paraguay,"715,569",,"19,494 ",,"694,192",,"1,883",7,"97,712","2,662","2,657,506","362,887","7,323,229 ",South America,10,376,3,,,257
80,Bahrain,"672,636",+189,"1,515 ",,"669,589",+174,"1,532",2,"367,491",828,"10,293,507","5,623,795","1,830,349 ",Asia,3,"1,208",0,103,,837
81,Sri Lanka,"670,218",+42,"16,712 ",+1,"652,970",+3,536,,"31,016",773,"6,486,117","300,164","21,608,607 ",Asia,32,"1,293",3,2,0.05,25
82,Kuwait,"657,745",,"2,563 ",,"654,870",,312,3,"149,215",581,"8,340,400","1,892,088","4,408,040 ",Asia,7,"1,720",1,,,71
83,Dominican Republic,"640,064",,"4,384 ",,"634,640",,"1,040",19,"57,743",396,"3,631,917","327,652","11,084,664 ",North America,17,"2,528",3,,,94
84,Palestine,"620,371",+259,"5,402 ",+2,"606,702","+2,667","8,267",17,"115,750","1,008","3,078,533","574,400","5,359,562 ",Asia,9,992,2,48,0.4,"1,542"
85,Myanmar,"615,654",+95,"19,441 ",+1,"593,816",+22,"2,397",,"11,152",352,"8,785,517","159,148","55,203,554 ",Asia,90,"2,840",6,2,0.02,43
86,Estonia,"597,758",,"2,651 ",,"524,990",,"70,117",4,"449,958","1,996","3,504,375","2,637,891","1,328,476 ",Europe,2,501,0,,,"52,780"
87,Cyprus,"578,030",,"1,172 ",,"571,430",+304,"5,428",60,"471,290",956,"9,572,310","7,804,663","1,226,486 ",Asia,2,"1,046",0,,,"4,426"
88,Moldova,"575,052",,"11,755 ",,"504,142",,"59,155",49,"143,277","2,929","3,216,305","801,357","4,013,571 ",Europe,7,341,1,,,"14,739"
89,Venezuela,"543,025",+73,"5,802 ",+1,"535,511",+186,"1,712",36,"19,215",205,"3,359,014","118,858","28,260,703 ",South America,52,"4,871",8,3,0.04,61
90,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,840",231,"3,693,367","34,668","106,535,761 ",Africa,207,"4,328",29,,,459
91,Libya,"506,860",+11,"6,437 ",,"500,326",+52,97,101,"71,644",910,"2,480,175","350,571","7,074,664 ",Africa,14,"1,099",3,2,,14
92,Ethiopia,"493,272",+35,"7,572 ",,"471,666",+2,"14,034",9,"4,071",62,"5,214,960","43,041","121,162,569 ",Africa,246,"16,001",23,0.3,,116
93,Réunion,"463,155",,874 ,,"418,572",,"43,709",10,"509,400",961,"1,603,660","1,763,783","909,216 ",Africa,2,"1,040",1,,,"48,073"
94,Honduras,"454,779",,"10,989 ",,N/A,N/A,N/A,105,"44,380","1,072","1,509,607","147,315","10,247,494 ",North America,23,933,7,,,"30,373"
95,Armenia,"436,727","+2,329","8,662 ",+7,"423,359","+2,043","4,706",,"146,785","2,911","3,191,200","1,072,567","2,975,293 ",Asia,7,343,1,783,2,"1,582"
96,Qatar,"432,202",+683,681 ,,"426,977",+577,"4,544",2,"153,929",243,"3,884,315","1,383,399","2,807,805 ",Asia,6,"4,123",1,243,,"1,618"
97,Oman,"397,846",,"4,260 ",,"384,669",,"8,917",2,"73,821",790,"25,000,000","4,638,780","5,389,348 ",Asia,14,"1,265",0,,,"1,655"
98,Bosnia and Herzegovina,"396,524",+251,"16,074 ",+12,"375,243",+365,"5,207",,"122,518","4,967","1,846,957","570,675","3,236,445 ",Europe,8,201,2,78,4,"1,609"
99,North Macedonia,"340,948",+253,"9,499 ",+4,"330,153",+412,"1,296",,"163,666","4,560","2,118,984","1,017,183","2,083,188 ",Europe,6,219,1,121,2,622
100,Kenya,"338,237",+2,"5,674 ",,"332,431",+2,132,1,"6,002",101,"3,861,155","68,521","56,349,572 ",Africa,167,"9,931",15,0.04,,2
101,Zambia,"333,086",+12,"4,017 ",,"328,755",+56,314,1,"17,077",206,"3,706,537","190,032","19,504,779 ",Africa,59,"4,856",5,0.6,,16
102,Albania,"330,221",+28,"3,582 ",,"323,077",+228,"3,562",,"115,021","1,248","1,941,032","676,091","2,870,962 ",Europe,9,801,1,10,,"1,241"
103,Botswana,"325,864",,"2,778 ",,"322,955",,131,1,"132,736","1,132","2,026,898","825,626","2,454,984 ",Africa,8,884,1,,,53
104,Luxembourg,"288,658",,"1,123 ",,"283,668",,"3,867",,"445,360","1,733","4,402,293","6,792,142","648,145 ",Europe,2,577,0,,,"5,966"
105,Montenegro,"276,440",+103,"2,778 ",,"271,343",+138,"2,319",6,"440,024","4,422","2,601,901","4,141,578","628,239 ",Europe,2,226,0,164,,"3,691"
106,Algeria,"270,461",+18,"6,879 ",,"182,088",+21,"81,494",6,"5,934",151,"230,861","5,066","45,574,644 ",Africa,169,"6,625",197,0.4,,"1,788"
107,Nigeria,"263,867",,"3,148 ",,"257,453",,"3,266",11,"1,215",14,"5,441,162","25,044","217,261,624 ",Africa,823,"69,016",40,,,15
108,Zimbabwe,"256,782",+13,"5,596 ",,"251,044",+8,142,12,"16,746",365,"2,486,601","162,164","15,333,860 ",Africa,60,"2,740",6,0.8,,9
109,Uzbekistan,"243,863",+33,"1,637 ",,"241,486",,740,23,"7,063",47,"1,377,915","39,911","34,524,986 ",Asia,142,"21,090",25,1.0,,21
110,Mozambique,"230,130",+1,"2,221 ",,"227,811",+42,98,11,"6,940",67,"1,371,127","41,347","33,161,733 ",Africa,144,"14,931",24,0.03,,3
111,Brunei ,"220,245",,225 ,,"219,561",,459,,"493,164",504,"717,784","1,607,233","446,596 ",Asia,2,"1,985",1,,,"1,028"
